Date,Return,STD,ticker,COV1,COV2
2006/4/30,0.002208579,0.000702207,SHY,-3.69E-06,2.38E-06
2006/5/31,0.00166972,0.000489609,SHY,7.22E-07,8.10E-06
2006/6/30,0.002364447,0.000770365,SHY,9.29E-06,3.70E-06
2006/7/31,0.006649243,0.00069196,SHY,7.74E-06,4.21E-06
2006/8/31,0.007520186,0.000576983,SHY,4.47E-06,9.15E-07
2006/9/30,0.004390379,0.000802256,SHY,1.05E-06,2.89E-07
2006/10/31,0.004172807,0.000853149,SHY,5.49E-06,1.15E-06
2006/11/30,0.004835028,0.000709754,SHY,-1.59E-06,5.49E-07
2006/12/31,0.000658353,0.000772996,SHY,-1.83E-06,-1.63E-06
2007/1/31,0.00162546,0.000634973,SHY,-8.26E-06,-7.88E-08
2007/2/28,0.007269441,0.000891504,SHY,-1.01E-05,-5.83E-06
2007/3/31,0.00450683,0.000899,SHY,-3.47E-06,-4.03E-06
2007/4/30,0.003056816,0.000866508,SHY,-1.18E-07,-1.71E-06
2007/5/31,-0.000674322,0.000639885,SHY,-2.86E-07,-1.96E-06
2007/6/30,0.004750697,0.000927237,SHY,3.31E-06,1.44E-05
2007/7/31,0.009040702,0.001072912,SHY,-2.88E-06,-1.15E-05
2007/8/31,0.01048797,0.001396796,SHY,-5.14E-06,-1.88E-05
2007/9/30,0.005519567,0.00147181,SHY,-1.22E-06,-4.13E-06
2007/10/31,0.004779764,0.001193456,SHY,-1.85E-05,-1.93E-05
2007/11/30,0.017928703,0.001965359,SHY,-1.01E-05,-3.65E-05
2007/12/31,0.002996217,0.001887632,SHY,1.14E-06,-1.64E-05
2008/1/31,0.016546522,0.001537022,SHY,5.59E-06,-1.97E-05
2008/2/29,0.010332024,0.001495331,SHY,-1.47E-05,-2.50E-05
2008/3/31,0.0025357,0.00227861,SHY,-4.08E-05,-4.06E-05
2008/4/30,-0.008374535,0.001523878,SHY,4.33E-06,-2.25E-05
2008/5/31,-0.00346202,0.001387177,SHY,1.51E-05,-9.08E-06
2008/6/30,0.002454926,0.002170058,SHY,1.83E-05,-2.63E-05
2008/7/31,0.004342163,0.001456472,SHY,3.84E-06,-2.90E-05
2008/8/31,0.004665046,0.001029061,SHY,5.38E-06,-1.10E-05
2008/9/30,0.007778322,0.002982971,SHY,-1.25E-05,1.13E-05
2008/10/31,0.01104726,0.002023289,SHY,0.000198653,0.000298726
2008/11/30,0.011052567,0.001694857,SHY,-5.12E-06,-2.82E-06
2008/12/31,0.00562991,0.001375237,SHY,-3.95E-05,-9.58E-05
2009/1/31,-0.004369435,0.001543647,SHY,7.47E-06,1.51E-05
2009/2/28,-0.001450166,0.001302773,SHY,-1.35E-05,-2.54E-05
2009/3/31,0.004994028,0.001318804,SHY,-1.17E-05,1.00E-05
2009/4/30,-0.001652921,0.001055636,SHY,-1.89E-05,-2.82E-05
2009/5/31,0.00056149,0.000898714,SHY,2.25E-06,1.26E-05
2009/6/30,-0.00094249,0.001865968,SHY,-3.58E-05,-2.20E-05
2009/7/31,0.00110089,0.001071657,SHY,-1.83E-05,-2.03E-05
2009/8/31,0.004091465,0.000982077,SHY,-2.06E-05,-2.22E-05
2009/9/30,0.002361655,0.000787632,SHY,1.70E-06,-3.00E-06
2009/10/31,0.001359459,0.001045783,SHY,-6.67E-06,-1.42E-05
2009/11/30,0.005964752,0.00039874,SHY,-3.06E-06,1.47E-06
2009/12/31,-0.008406655,0.001131285,SHY,-3.61E-06,-5.87E-06
2010/1/31,0.007955159,0.000650421,SHY,-9.42E-06,-8.06E-06
2010/2/28,0.00160398,0.000802285,SHY,-6.39E-06,-7.60E-06
2010/3/31,-0.002691882,0.00060012,SHY,4.21E-07,1.88E-06
2010/4/30,0.003002028,0.001012315,SHY,-7.55E-06,-1.37E-05
2010/5/31,0.004529167,0.001009983,SHY,-1.03E-05,-1.05E-05
2010/6/30,0.004189497,0.000698711,SHY,-1.35E-05,-1.69E-05
2010/7/31,0.001939789,0.000541217,SHY,-5.36E-06,-1.50E-05
2010/8/31,0.002388476,0.000610458,SHY,-1.36E-05,-1.88E-05
2010/9/30,0.001187128,0.000523928,SHY,-6.68E-06,-1.28E-05
2010/10/31,0.002193206,0.000496376,SHY,7.14E-06,9.74E-07
2010/11/30,-0.002048376,0.000794377,SHY,6.51E-06,1.90E-06
2010/12/31,-0.001637303,0.001038108,SHY,-9.50E-07,-5.15E-06
2011/1/31,0.001309344,0.000723398,SHY,-7.58E-06,-6.05E-06
2011/2/28,-0.001213472,0.000715199,SHY,3.77E-06,-4.51E-06
2011/3/31,-0.001300033,0.000944721,SHY,-4.88E-06,-1.27E-05
2011/4/30,0.005341379,0.000730014,SHY,-9.43E-06,-1.54E-06
2011/5/31,0.003640542,0.000426131,SHY,-1.16E-05,-5.46E-06
2011/6/30,-4.67E-05,0.000724599,SHY,-1.60E-05,-1.36E-05
2011/7/31,0.002860153,0.000637242,SHY,1.12E-06,-2.38E-06
2011/8/31,0.003447028,0.000477135,SHY,-1.58E-05,-5.53E-05
2011/9/30,-0.001015888,0.000413772,SHY,-1.34E-05,-3.02E-05
2011/10/31,0.00034268,0.00046774,SHY,-2.15E-05,-4.41E-05
2011/11/30,0.000450167,0.000216481,SHY,-7.70E-06,-2.06E-05
2011/12/31,0.000520949,0.000256649,SHY,-5.44E-06,-5.93E-06
2012/1/31,0.000827974,0.000258404,SHY,-5.83E-06,-5.49E-06
2012/2/29,-0.001407651,0.000280321,SHY,-2.41E-06,-2.06E-06
2012/3/31,-0.000769981,0.000471529,SHY,-7.13E-06,-7.73E-06
2012/4/30,0.002016967,0.00030346,SHY,-3.83E-06,-4.91E-06
2012/5/31,0.000567959,0.000276024,SHY,-4.23E-06,-5.30E-06
2012/6/30,-0.000970721,0.000205758,SHY,-1.24E-05,-1.54E-05
2012/7/31,0.002205487,0.000267942,SHY,-3.59E-06,-6.60E-06
2012/8/31,7.16E-05,0.000267122,SHY,-1.98E-06,-3.30E-06
2012/9/30,0.000164659,0.000259362,SHY,-6.81E-06,-4.74E-06
2012/10/31,-0.00068638,0.000295671,SHY,-3.73E-06,-5.10E-06
2012/11/30,0.000237595,0.000233612,SHY,-3.39E-06,-4.76E-06
2012/12/31,0.000248619,0.000199317,SHY,3.41E-07,-6.90E-06
2013/1/31,0.000118417,0.000203436,SHY,8.85E-07,-1.83E-06
2013/2/28,0.000604167,0.000183954,SHY,-2.57E-06,-9.10E-06
2013/3/31,0.000331672,0.000184113,SHY,-4.25E-07,-1.67E-06
2013/4/30,0.000686116,0.000137037,SHY,-2.85E-06,-3.94E-06
2013/5/31,-0.001337149,0.000234081,SHY,-4.53E-06,-3.34E-06
2013/6/30,-0.000984154,0.00045424,SHY,1.39E-05,2.32E-05
2013/7/31,0.001626411,0.000438837,SHY,4.39E-06,1.37E-06
2013/8/31,-0.000971812,0.000343488,SHY,-5.77E-07,9.62E-07
2013/9/30,0.002230406,0.000576707,SHY,1.05E-05,4.16E-06
2013/10/31,0.000686444,0.000334417,SHY,2.30E-06,5.41E-06
2013/11/30,0.000935612,0.000315977,SHY,1.24E-06,-6.80E-07
2013/12/31,-0.001773699,0.000309874,SHY,1.20E-06,2.51E-06
2014/1/31,0.002014143,0.000465839,SHY,3.13E-06,-4.50E-06
2014/2/28,0.00039073,0.000297168,SHY,-2.61E-06,-5.31E-06
2014/3/31,-0.001088327,0.000571817,SHY,1.57E-06,-6.32E-06
2014/4/30,0.001077937,0.000387408,SHY,2.03E-06,-5.83E-06
2014/5/31,0.001787275,0.000224806,SHY,-1.25E-07,-3.41E-06
2014/6/30,-0.000791953,0.000421252,SHY,1.38E-06,-2.11E-07
2014/7/31,-0.000768943,0.000397737,SHY,1.43E-06,-2.45E-06
2014/8/31,0.001858807,0.000440873,SHY,1.48E-07,-2.22E-06
2014/9/30,-0.000733168,0.000497529,SHY,3.86E-06,-2.12E-06
2014/10/31,0.002604326,0.000669352,SHY,-6.66E-06,-7.98E-06
2014/11/30,0.001051097,0.000318806,SHY,-1.62E-06,-3.19E-07
2014/12/31,-0.002926472,0.000735723,SHY,-6.17E-06,-9.36E-06
2015/1/31,0.006275604,0.000643842,SHY,-1.00E-05,-1.71E-05
2015/2/28,-0.002907413,0.000750809,SHY,-7.40E-06,-2.87E-06
2015/3/31,0.002492276,0.000740382,SHY,1.62E-05,1.10E-05
2015/4/30,0.000318568,0.000441068,SHY,5.04E-06,-2.21E-06
2015/5/31,0.000412976,0.000573246,SHY,3.92E-06,4.01E-06
2015/6/30,0.000317592,0.000579126,SHY,-1.18E-05,-1.03E-05
2015/7/31,0.000447798,0.000651005,SHY,-1.17E-05,-9.00E-06
2015/8/31,-0.000494903,0.000670083,SHY,-5.60E-06,-1.31E-05
2015/9/30,0.002949769,0.000696487,SHY,-1.46E-05,-1.96E-05
2015/10/31,-0.001412195,0.00065347,SHY,-2.92E-06,-7.88E-06
2015/11/30,-0.002583096,0.000441419,SHY,-3.96E-07,-2.50E-06
2015/12/31,-0.001490516,0.000607054,SHY,-4.09E-06,-1.27E-06
2016/1/31,0.006519609,0.000492164,SHY,3.45E-06,-6.13E-07
2016/2/29,0.001119148,0.000724372,SHY,-2.75E-06,-9.90E-06
2016/3/31,0.001378049,0.000797644,SHY,-3.19E-06,-5.55E-06
2016/4/30,0.000364809,0.000446267,SHY,-4.06E-06,-3.77E-06
2016/5/31,-0.001188992,0.000615093,SHY,-2.96E-06,-2.56E-06
2016/6/30,0.00602548,0.000757602,SHY,-1.02E-05,-1.46E-05
2016/7/31,-0.000469283,0.000586208,SHY,-2.64E-06,-1.35E-06
2016/8/31,-0.002336184,0.000587679,SHY,2.31E-07,5.11E-07
2016/9/30,0.001295367,0.000474258,SHY,3.84E-06,1.00E-05
2016/10/31,-0.000482495,0.000416028,SHY,-2.88E-07,1.47E-06
2016/11/30,-0.004699792,0.000559636,SHY,-7.04E-06,-5.21E-06
2016/12/31,0.000723234,0.000627129,SHY,-2.86E-06,2.43E-06
2017/1/31,0.001066604,0.000595758,SHY,4.60E-06,-3.43E-06
2017/2/28,0.000366294,0.00057675,SHY,-2.65E-06,-2.70E-06
2017/3/31,0.000639278,0.00063962,SHY,5.75E-06,-2.06E-06
2017/4/30,0.001870276,0.000668733,SHY,-2.23E-07,-5.58E-06
2017/5/31,0.000733954,0.000503261,SHY,8.47E-07,-5.44E-06
2017/6/30,-0.000780679,0.000429952,SHY,-5.01E-06,9.47E-07
2017/7/31,0.0018592,0.000416649,SHY,-3.18E-06,1.45E-06
2017/8/31,0.00202351,0.000526833,SHY,-6.17E-07,-1.80E-06
2017/9/30,-0.001867079,0.000460897,SHY,2.85E-06,-4.45E-06
2017/10/31,-0.000912837,0.000771416,SHY,2.52E-07,-7.59E-07
2017/11/30,-0.002160704,0.000374722,SHY,4.11E-06,-1.19E-06
2017/12/31,-0.000202238,0.000402442,SHY,-1.62E-06,-9.47E-07
2018/1/31,-0.002862643,0.000307634,SHY,-6.23E-07,6.25E-08
2018/2/28,-0.001005435,0.000677656,SHY,7.70E-07,-4.02E-06
2018/3/31,0.00247132,0.000479123,SHY,-2.50E-06,-6.11E-06
2018/4/30,-0.002348453,0.000388007,SHY,-6.23E-07,-3.92E-07
2018/5/31,0.003523101,0.00078787,SHY,-6.72E-06,-3.79E-06
2018/6/30,0.000432131,0.000502764,SHY,2.49E-06,-2.45E-06
2018/7/31,-0.000600302,0.00028392,SHY,3.39E-07,4.10E-07
2018/8/31,0.00346763,0.000380554,SHY,-2.18E-08,-1.44E-06
2018/9/30,-0.001430733,0.000360934,SHY,-3.72E-06,7.04E-08
2018/10/31,0.001531552,0.000510688,SHY,-1.65E-06,-8.06E-06
2018/11/30,0.003810226,0.000480817,SHY,1.85E-06,4.42E-06
2018/12/31,0.00759853,0.000720098,SHY,-4.73E-06,-6.92E-06
2019/1/31,0.002510804,0.000879883,SHY,-7.79E-08,-1.02E-05
2019/2/28,0.000860636,0.00059409,SHY,-6.26E-07,1.76E-06
2019/3/31,0.006268413,0.000613108,SHY,3.48E-07,-8.45E-06
2019/4/30,0.001834311,0.00052392,SHY,-2.43E-06,-1.91E-06
2019/5/31,0.007218292,0.000757403,SHY,-7.32E-06,-4.43E-06
2019/6/30,0.004609584,0.000899243,SHY,2.81E-06,8.67E-07
2019/7/31,-0.000637755,0.00077764,SHY,-3.02E-06,1.64E-06
2019/8/31,0.007817565,0.001090966,SHY,-1.77E-05,-2.20E-05
2019/9/30,-0.001342494,0.001005048,SHY,5.06E-06,-5.50E-06
2019/10/31,0.003129611,0.00083512,SHY,-3.82E-06,-5.46E-06
2019/11/30,-0.00047198,0.000553146,SHY,-6.51E-07,-6.29E-07
2019/12/31,0.001550059,0.000594175,SHY,-2.28E-06,-4.25E-06
2020/1/31,0.005790304,0.000468757,SHY,-1.32E-06,-7.03E-06
2020/2/29,0.008766035,0.001021316,SHY,-1.29E-05,-1.36E-05
2020/3/31,0.012440955,0.002100968,SHY,0.000150083,0.000173554
2020/4/30,0.002726007,0.000488952,SHY,5.63E-06,2.62E-05
2020/5/31,-0.00078395,0.000496351,SHY,3.62E-06,-2.36E-06
2020/6/30,0.000231041,0.000326565,SHY,5.05E-06,4.06E-06
2020/7/31,0.000936231,0.000239796,SHY,-2.77E-06,-1.87E-06
2020/8/31,-0.000230966,0.00017107,SHY,2.92E-06,1.74E-06
2020/9/30,-1.18E-05,0.000164282,SHY,-5.24E-07,6.15E-06
2020/10/31,-0.000462435,0.000162115,SHY,-2.69E-06,5.19E-07
2020/11/30,0.000219339,0.000175802,SHY,-5.28E-06,-8.52E-07
2020/12/31,0.000405557,0.000228107,SHY,4.05E-07,-1.72E-06
2021/1/31,0.00023118,0.000207403,SHY,-4.58E-07,5.40E-07
2021/2/28,-0.000578595,0.000498886,SHY,-9.29E-06,1.17E-05
2021/3/31,-0.00055633,0.000212056,SHY,5.75E-06,7.96E-06
2021/4/30,0.000568433,0.000219698,SHY,4.13E-06,9.41E-07
2021/5/31,0.000602886,0.000214863,SHY,-2.77E-06,1.16E-05
2021/6/30,-0.001714986,0.000390704,SHY,1.37E-06,-3.75E-07
2021/7/31,0.001660102,0.00035855,SHY,-2.58E-05,-9.01E-06
2021/8/31,-0.000324791,0.000288511,SHY,-2.53E-06,1.08E-06
2021/9/30,-0.00100868,0.000287521,SHY,-2.52E-06,-6.39E-07
2021/10/31,-0.003355198,0.000447473,SHY,-3.67E-06,-1.18E-06
2021/11/30,-0.000570766,0.000884015,SHY,-2.27E-05,-5.62E-06
2021/12/31,-0.002122779,0.000583465,SHY,-6.41E-06,-7.83E-06
2022/1/31,-0.006897501,0.000792514,SHY,-2.09E-06,-3.47E-07
2022/2/28,-0.004321275,0.001702432,SHY,1.37E-05,7.29E-06
2022/3/31,-0.014017657,0.001398581,SHY,8.72E-06,-2.06E-06
2022/4/30,-0.004969427,0.001410916,SHY,2.21E-05,1.72E-05
2022/5/31,0.00596242,0.001301228,SHY,8.50E-07,-4.27E-06
2022/6/30,-0.00594306,0.002064588,SHY,-1.15E-05,4.49E-05
2022/7/31,0.00409782,0.001523209,SHY,-1.96E-05,5.36E-06
2022/8/31,-0.008100066,0.001354182,SHY,-1.16E-05,2.96E-05
2022/9/30,-0.011923302,0.00165381,SHY,3.86E-05,4.53E-05
2022/10/31,-0.001257647,0.001461296,SHY,1.96E-05,4.41E-05
2022/11/30,0.006937854,0.001618864,SHY,1.80E-05,7.71E-05
2022/12/31,0.001177203,0.00135109,SHY,1.09E-06,1.51E-05
2023/1/31,0.007761238,0.001405684,SHY,-6.02E-06,3.26E-06
2023/2/28,-0.008058997,0.001435917,SHY,-2.22E-06,2.96E-05
2023/3/31,0.016479334,0.003651854,SHY,-1.11E-05,-2.69E-05
2023/4/30,0.002439774,0.001824992,SHY,7.91E-06,-9.82E-06
2023/5/31,-0.003768914,0.001677333,SHY,-2.16E-05,-1.09E-05
2023/6/30,-0.004945617,0.001396538,SHY,6.30E-06,4.51E-07
2023/7/31,0.003041722,0.001389657,SHY,1.07E-05,1.75E-05
2023/8/31,0.004103176,0.000970533,SHY,7.73E-06,1.24E-05
2023/9/30,-0.000789468,0.000857407,SHY,-1.54E-06,3.98E-06
2023/10/31,0.003330776,0.001290249,SHY,-3.74E-06,1.04E-05
2023/11/30,0.010519533,0.001518548,SHY,1.52E-06,2.18E-05
2023/12/31,0.011034293,0.001557876,SHY,5.58E-06,7.49E-06
2024/1/31,0.003169076,0.001179905,SHY,2.95E-06,4.40E-06
2024/2/29,-0.003875445,0.001378682,SHY,-6.16E-06,1.37E-05
2024/3/31,0.003435749,0.00089799,SHY,-8.34E-06,2.41E-06
2024/4/30,-0.004416488,0.001251474,SHY,-6.32E-06,8.55E-06
2024/5/31,0.007195113,0.000938537,SHY,-5.54E-06,1.06E-05
2024/6/30,0.005442597,0.001015125,SHY,3.44E-06,5.22E-06
2024/7/31,0.01179655,0.000870478,SHY,8.10E-06,1.17E-05
2024/8/31,0.008919547,0.001601048,SHY,-1.03E-05,-1.10E-05
2024/9/30,0.007732248,0.001030312,SHY,-1.10E-06,-1.35E-06
2024/10/31,-0.006238203,0.001025444,SHY,-7.86E-06,-1.87E-06
2024/11/30,0.002960526,0.000991422,SHY,1.19E-05,-4.99E-06
2024/12/31,0.002504667,0.00072207,SHY,6.16E-07,1.34E-05
2025/1/31,0.003781364,0.00080761,SHY,-7.23E-06,1.03E-05
2025/2/28,0.007352133,0.000945477,SHY,-9.95E-06,6.40E-06
2025/3/31,0.004407165,0.000882057,SHY,-4.46E-06,-1.90E-05
